Skin_Concern,Skin_Type,Skin_Tone,Age,Gender,Recommended_Product
Tanning,Sensitive,Medium,43,Male,Lotus Herbals Safe Sun
Whiteheads,Sensitive,Medium,20,Female,Paula's Choice BHA Exfoliant
Tanning,Oily,Fair,57,Other,Lotus Herbals Safe Sun
Acne,Oily,Medium,26,Female,Neutrogena Oil-Free Acne Wash
Sagging,Sensitive,Medium,41,Male,Pond’s Age Miracle Firming Serum
Pigmentation,Sensitive,Fair,40,Female,Murad Rapid Age Spot Correcting Serum
Itchy Skin,Combination,Dark,60,Other,Eucerin Itch Relief Cream
Tanning,Sensitive,Medium,28,Female,Lotus Herbals Safe Sun
Sunburn,Oily,Olive,50,Male,Aloe Vera Gel
Uneven Skin Tone,Oily,Fair,53,Female,L'Oreal Paris Glycolic Bright Serum
Dark Spots,Normal,Medium,19,Other,Minimalist Alpha Arbutin Serum
Oily Skin,Dry,Fair,54,Male,La Roche-Posay Effaclar Gel
Blackheads,Sensitive,Fair,52,Male,The Body Shop Tea Tree Cleanser
Inflammation,Normal,Fair,55,Male,The Ordinary Niacinamide 10% + Zinc 1%
Redness,Normal,Olive,49,Female,Aveeno Ultra-Calming Foaming Cleanser
Whiteheads,Dry,Dusky,31,Female,Paula's Choice BHA Exfoliant
Rosacea,Dry,Dusky,45,Female,Cetaphil Redness Relief
Oily Skin,Oily,Dark,55,Other,La Roche-Posay Effaclar Gel
Wrinkles,Oily,Olive,29,Other,Olay Regenerist Retinol 24
Whiteheads,Dry,Dusky,20,Male,Paula's Choice BHA Exfoliant
Pores,Combination,Medium,44,Other,Innisfree Super Volcanic Clay Mask
Dullness,Normal,Olive,16,Other,The Ordinary Vitamin C Suspension
Tanning,Combination,Fair,24,Female,Lotus Herbals Safe Sun
Wrinkles,Oily,Olive,25,Female,Olay Regenerist Retinol 24
Dullness,Normal,Medium,37,Male,The Ordinary Vitamin C Suspension
Whiteheads,Normal,Dark,32,Male,Paula's Choice BHA Exfoliant
Oily Skin,Sensitive,Dusky,18,Male,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Dry,Dusky,26,Other,L'Oreal Paris Glycolic Bright Serum
Itchy Skin,Normal,Dark,51,Male,Eucerin Itch Relief Cream
Wrinkles,Oily,Medium,50,Male,Olay Regenerist Retinol 24
Pores,Normal,Olive,25,Female,Innisfree Super Volcanic Clay Mask
Dark Circles,Oily,Dusky,39,Male,Mamaearth Under Eye Cream
Pores,Dry,Medium,58,Male,Innisfree Super Volcanic Clay Mask
Pores,Normal,Dark,55,Other,Innisfree Super Volcanic Clay Mask
Dark Circles,Dry,Medium,27,Female,Mamaearth Under Eye Cream
Acne,Dry,Dusky,42,Other,Neutrogena Oil-Free Acne Wash
Blackheads,Combination,Medium,60,Male,The Body Shop Tea Tree Cleanser
Rosacea,Oily,Dark,30,Male,Cetaphil Redness Relief
Itchy Skin,Combination,Dusky,30,Male,Eucerin Itch Relief Cream
Acne,Dry,Dark,37,Female,Neutrogena Oil-Free Acne Wash
Oily Skin,Combination,Dusky,57,Other,La Roche-Posay Effaclar Gel
Rosacea,Normal,Dusky,17,Male,Cetaphil Redness Relief
Whiteheads,Dry,Olive,32,Male,Paula's Choice BHA Exfoliant
Wrinkles,Normal,Dark,38,Other,Olay Regenerist Retinol 24
Uneven Skin Tone,Sensitive,Olive,48,Male,L'Oreal Paris Glycolic Bright Serum
Rosacea,Normal,Medium,32,Male,Cetaphil Redness Relief
Redness,Oily,Olive,50,Other,Aveeno Ultra-Calming Foaming Cleanser
Sunburn,Combination,Dark,20,Other,Aloe Vera Gel
Uneven Skin Tone,Normal,Dusky,58,Male,L'Oreal Paris Glycolic Bright Serum
Dullness,Normal,Dusky,58,Female,The Ordinary Vitamin C Suspension
Uneven Skin Tone,Sensitive,Dusky,51,Male,L'Oreal Paris Glycolic Bright Serum
Sunburn,Sensitive,Dark,59,Other,Aloe Vera Gel
Pigmentation,Normal,Olive,35,Female,Murad Rapid Age Spot Correcting Serum
Tanning,Oily,Dusky,34,Male,Lotus Herbals Safe Sun
Redness,Normal,Olive,57,Female,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Sensitive,Dark,59,Male,Eucerin Itch Relief Cream
Dark Spots,Sensitive,Medium,58,Male,Minimalist Alpha Arbutin Serum
Dullness,Normal,Olive,37,Male,The Ordinary Vitamin C Suspension
Blackheads,Combination,Medium,28,Male,The Body Shop Tea Tree Cleanser
Acne,Oily,Medium,46,Other,Neutrogena Oil-Free Acne Wash
Oily Skin,Sensitive,Dark,56,Other,La Roche-Posay Effaclar Gel
Sunburn,Sensitive,Dark,41,Male,Aloe Vera Gel
Dark Circles,Oily,Fair,43,Male,Mamaearth Under Eye Cream
Pigmentation,Normal,Dark,19,Other,Murad Rapid Age Spot Correcting Serum
Blackheads,Oily,Dark,24,Female,The Body Shop Tea Tree Cleanser
Dark Spots,Normal,Olive,36,Female,Minimalist Alpha Arbutin Serum
Eczema,Normal,Dark,51,Female,CeraVe Eczema Relief Creamy Oil
Pigmentation,Sensitive,Dark,32,Male,Murad Rapid Age Spot Correcting Serum
Whiteheads,Normal,Dark,56,Male,Paula's Choice BHA Exfoliant
Whiteheads,Sensitive,Fair,34,Male,Paula's Choice BHA Exfoliant
Whiteheads,Combination,Dusky,50,Male,Paula's Choice BHA Exfoliant
Dark Circles,Dry,Medium,40,Other,Mamaearth Under Eye Cream
Dark Circles,Dry,Fair,42,Female,Mamaearth Under Eye Cream
Uneven Skin Tone,Normal,Dark,42,Male,L'Oreal Paris Glycolic Bright Serum
Sunburn,Sensitive,Dark,53,Other,Aloe Vera Gel
Acne,Normal,Dark,46,Male,Neutrogena Oil-Free Acne Wash
Pores,Combination,Dark,42,Other,Innisfree Super Volcanic Clay Mask
Tanning,Normal,Medium,47,Male,Lotus Herbals Safe Sun
Whiteheads,Sensitive,Dark,17,Female,Paula's Choice BHA Exfoliant
Uneven Skin Tone,Sensitive,Medium,45,Male,L'Oreal Paris Glycolic Bright Serum
Eczema,Normal,Fair,41,Other,CeraVe Eczema Relief Creamy Oil
Inflammation,Oily,Fair,57,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dark Circles,Sensitive,Medium,19,Female,Mamaearth Under Eye Cream
Rosacea,Combination,Medium,45,Female,Cetaphil Redness Relief
Uneven Skin Tone,Sensitive,Dusky,42,Female,L'Oreal Paris Glycolic Bright Serum
Oily Skin,Sensitive,Fair,50,Male,La Roche-Posay Effaclar Gel
Pores,Dry,Fair,57,Male,Innisfree Super Volcanic Clay Mask
Acne,Dry,Medium,17,Other,Neutrogena Oil-Free Acne Wash
Dark Circles,Dry,Medium,46,Other,Mamaearth Under Eye Cream
Wrinkles,Normal,Medium,45,Other,Olay Regenerist Retinol 24
Whiteheads,Combination,Medium,54,Other,Paula's Choice BHA Exfoliant
Wrinkles,Dry,Dusky,22,Other,Olay Regenerist Retinol 24
Acne,Combination,Olive,59,Female,Neutrogena Oil-Free Acne Wash
Rosacea,Dry,Fair,53,Other,Cetaphil Redness Relief
Blackheads,Oily,Dusky,59,Other,The Body Shop Tea Tree Cleanser
Wrinkles,Normal,Fair,38,Other,Olay Regenerist Retinol 24
Redness,Combination,Fair,48,Other,Aveeno Ultra-Calming Foaming Cleanser
Uneven Skin Tone,Oily,Dark,47,Male,L'Oreal Paris Glycolic Bright Serum
Redness,Combination,Dark,25,Female,Aveeno Ultra-Calming Foaming Cleanser
Pigmentation,Normal,Dusky,55,Other,Murad Rapid Age Spot Correcting Serum
Sagging,Sensitive,Dark,53,Female,Pond’s Age Miracle Firming Serum
Uneven Skin Tone,Dry,Fair,33,Female,L'Oreal Paris Glycolic Bright Serum
Blackheads,Sensitive,Olive,55,Other,The Body Shop Tea Tree Cleanser
Rosacea,Combination,Fair,47,Female,Cetaphil Redness Relief
Pigmentation,Sensitive,Medium,38,Female,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Combination,Olive,60,Female,L'Oreal Paris Glycolic Bright Serum
Tanning,Oily,Olive,28,Male,Lotus Herbals Safe Sun
Blackheads,Sensitive,Dark,51,Male,The Body Shop Tea Tree Cleanser
Sagging,Sensitive,Dark,17,Male,Pond’s Age Miracle Firming Serum
Dullness,Dry,Dark,60,Male,The Ordinary Vitamin C Suspension
Dullness,Normal,Dusky,46,Other,The Ordinary Vitamin C Suspension
Dark Spots,Combination,Dark,51,Female,Minimalist Alpha Arbutin Serum
Pores,Sensitive,Dusky,35,Female,Innisfree Super Volcanic Clay Mask
Blackheads,Oily,Medium,36,Male,The Body Shop Tea Tree Cleanser
Tanning,Dry,Medium,29,Other,Lotus Herbals Safe Sun
Sagging,Combination,Olive,49,Other,Pond’s Age Miracle Firming Serum
Dullness,Oily,Medium,34,Male,The Ordinary Vitamin C Suspension
Pores,Dry,Dusky,16,Other,Innisfree Super Volcanic Clay Mask
Tanning,Dry,Dusky,18,Male,Lotus Herbals Safe Sun
Tanning,Combination,Medium,56,Female,Lotus Herbals Safe Sun
Wrinkles,Oily,Olive,34,Female,Olay Regenerist Retinol 24
Sagging,Sensitive,Dusky,27,Male,Pond’s Age Miracle Firming Serum
Whiteheads,Sensitive,Fair,20,Female,Paula's Choice BHA Exfoliant
Sagging,Oily,Olive,56,Other,Pond’s Age Miracle Firming Serum
Dryness,Dry,Medium,52,Female,CeraVe Moisturizing Cream
Oily Skin,Dry,Fair,51,Female,La Roche-Posay Effaclar Gel
Eczema,Normal,Olive,30,Other,CeraVe Eczema Relief Creamy Oil
Rosacea,Sensitive,Dark,35,Other,Cetaphil Redness Relief
Redness,Combination,Olive,55,Male,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Oily,Medium,56,Male,CeraVe Eczema Relief Creamy Oil
Whiteheads,Oily,Medium,31,Male,Paula's Choice BHA Exfoliant
Tanning,Oily,Medium,16,Female,Lotus Herbals Safe Sun
Itchy Skin,Normal,Dark,34,Male,Eucerin Itch Relief Cream
Blackheads,Combination,Dusky,60,Female,The Body Shop Tea Tree Cleanser
Oily Skin,Dry,Dusky,56,Other,La Roche-Posay Effaclar Gel
Sunburn,Sensitive,Fair,50,Male,Aloe Vera Gel
Dark Circles,Combination,Medium,20,Male,Mamaearth Under Eye Cream
Pigmentation,Combination,Olive,52,Female,Murad Rapid Age Spot Correcting Serum
Itchy Skin,Oily,Dark,60,Female,Eucerin Itch Relief Cream
Rosacea,Combination,Olive,50,Female,Cetaphil Redness Relief
Itchy Skin,Oily,Olive,18,Female,Eucerin Itch Relief Cream
Uneven Skin Tone,Normal,Dusky,17,Male,L'Oreal Paris Glycolic Bright Serum
Blackheads,Normal,Olive,17,Other,The Body Shop Tea Tree Cleanser
Whiteheads,Normal,Fair,27,Female,Paula's Choice BHA Exfoliant
Dark Spots,Sensitive,Dusky,27,Other,Minimalist Alpha Arbutin Serum
Redness,Sensitive,Fair,46,Female,Aveeno Ultra-Calming Foaming Cleanser
Redness,Combination,Dusky,58,Male,Aveeno Ultra-Calming Foaming Cleanser
Pigmentation,Combination,Dark,60,Female,Murad Rapid Age Spot Correcting Serum
Dullness,Sensitive,Olive,18,Female,The Ordinary Vitamin C Suspension
Oily Skin,Combination,Dusky,36,Male,La Roche-Posay Effaclar Gel
Rosacea,Normal,Fair,58,Other,Cetaphil Redness Relief
Itchy Skin,Sensitive,Fair,28,Other,Eucerin Itch Relief Cream
Pores,Normal,Dark,56,Female,Innisfree Super Volcanic Clay Mask
Dryness,Dry,Dusky,51,Male,CeraVe Moisturizing Cream
Dullness,Sensitive,Dark,23,Male,The Ordinary Vitamin C Suspension
Eczema,Dry,Medium,35,Other,CeraVe Eczema Relief Creamy Oil
Acne,Normal,Dark,21,Male,Neutrogena Oil-Free Acne Wash
Wrinkles,Sensitive,Fair,57,Male,Olay Regenerist Retinol 24
Sagging,Combination,Olive,33,Female,Pond’s Age Miracle Firming Serum
Sagging,Sensitive,Medium,45,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Sensitive,Medium,54,Other,Mamaearth Under Eye Cream
Dark Circles,Oily,Dusky,42,Female,Mamaearth Under Eye Cream
Dark Spots,Combination,Fair,34,Other,Minimalist Alpha Arbutin Serum
Dullness,Normal,Olive,58,Female,The Ordinary Vitamin C Suspension
Dark Circles,Sensitive,Olive,46,Female,Mamaearth Under Eye Cream
Uneven Skin Tone,Normal,Olive,40,Female,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Dry,Medium,52,Female,L'Oreal Paris Glycolic Bright Serum
Blackheads,Sensitive,Fair,36,Other,The Body Shop Tea Tree Cleanser
Sagging,Sensitive,Dark,58,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Sensitive,Fair,24,Other,Mamaearth Under Eye Cream
Inflammation,Combination,Fair,44,Male,The Ordinary Niacinamide 10% + Zinc 1%
Dark Spots,Sensitive,Fair,25,Female,Minimalist Alpha Arbutin Serum
Dark Circles,Oily,Dark,32,Female,Mamaearth Under Eye Cream
Eczema,Sensitive,Fair,37,Other,CeraVe Eczema Relief Creamy Oil
Tanning,Sensitive,Dusky,56,Other,Lotus Herbals Safe Sun
Sagging,Normal,Fair,55,Male,Pond’s Age Miracle Firming Serum
Blackheads,Combination,Medium,21,Female,The Body Shop Tea Tree Cleanser
Wrinkles,Oily,Dark,26,Other,Olay Regenerist Retinol 24
Dullness,Oily,Fair,36,Male,The Ordinary Vitamin C Suspension
Dullness,Combination,Dusky,43,Male,The Ordinary Vitamin C Suspension
Blackheads,Normal,Dark,52,Other,The Body Shop Tea Tree Cleanser
Pigmentation,Dry,Medium,21,Other,Murad Rapid Age Spot Correcting Serum
Rosacea,Normal,Medium,47,Other,Cetaphil Redness Relief
Dark Circles,Dry,Dark,56,Female,Mamaearth Under Eye Cream
Itchy Skin,Combination,Fair,45,Female,Eucerin Itch Relief Cream
Tanning,Dry,Fair,44,Female,Lotus Herbals Safe Sun
Inflammation,Combination,Dark,60,Female,The Ordinary Niacinamide 10% + Zinc 1%
Itchy Skin,Combination,Medium,40,Female,Eucerin Itch Relief Cream
Wrinkles,Dry,Dark,52,Female,Olay Regenerist Retinol 24
Inflammation,Combination,Dusky,17,Other,The Ordinary Niacinamide 10% + Zinc 1%
Rosacea,Combination,Fair,52,Other,Cetaphil Redness Relief
Dryness,Normal,Dark,34,Male,CeraVe Moisturizing Cream
Eczema,Combination,Medium,56,Male,CeraVe Eczema Relief Creamy Oil
Eczema,Combination,Medium,56,Male,CeraVe Eczema Relief Creamy Oil
Dryness,Combination,Dark,18,Other,CeraVe Moisturizing Cream
Pores,Dry,Fair,34,Female,Innisfree Super Volcanic Clay Mask
Redness,Dry,Medium,24,Other,Aveeno Ultra-Calming Foaming Cleanser
Pores,Normal,Olive,33,Male,Innisfree Super Volcanic Clay Mask
Whiteheads,Sensitive,Dusky,37,Male,Paula's Choice BHA Exfoliant
Itchy Skin,Oily,Medium,30,Other,Eucerin Itch Relief Cream
Rosacea,Normal,Dusky,21,Female,Cetaphil Redness Relief
Acne,Combination,Olive,23,Female,Neutrogena Oil-Free Acne Wash
Pores,Combination,Olive,40,Other,Innisfree Super Volcanic Clay Mask
Pores,Oily,Medium,46,Male,Innisfree Super Volcanic Clay Mask
Eczema,Normal,Dusky,55,Male,CeraVe Eczema Relief Creamy Oil
Oily Skin,Sensitive,Dusky,57,Female,La Roche-Posay Effaclar Gel
Wrinkles,Dry,Fair,18,Female,Olay Regenerist Retinol 24
Sagging,Oily,Fair,31,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Sensitive,Dark,39,Other,Mamaearth Under Eye Cream
Tanning,Sensitive,Olive,25,Female,Lotus Herbals Safe Sun
Wrinkles,Sensitive,Olive,42,Female,Olay Regenerist Retinol 24
Dryness,Combination,Medium,44,Female,CeraVe Moisturizing Cream
Blackheads,Combination,Fair,59,Female,The Body Shop Tea Tree Cleanser
Tanning,Combination,Fair,41,Female,Lotus Herbals Safe Sun
Sunburn,Oily,Dark,21,Other,Aloe Vera Gel
Sunburn,Normal,Fair,19,Female,Aloe Vera Gel
Blackheads,Dry,Olive,29,Male,The Body Shop Tea Tree Cleanser
Tanning,Dry,Olive,29,Male,Lotus Herbals Safe Sun
Uneven Skin Tone,Dry,Olive,16,Female,L'Oreal Paris Glycolic Bright Serum
Dark Circles,Dry,Olive,32,Male,Mamaearth Under Eye Cream
Wrinkles,Oily,Medium,16,Female,Olay Regenerist Retinol 24
Blackheads,Normal,Dusky,17,Male,The Body Shop Tea Tree Cleanser
Whiteheads,Oily,Medium,42,Other,Paula's Choice BHA Exfoliant
Wrinkles,Oily,Dark,44,Female,Olay Regenerist Retinol 24
Dark Spots,Normal,Fair,44,Other,Minimalist Alpha Arbutin Serum
Blackheads,Normal,Fair,58,Other,The Body Shop Tea Tree Cleanser
Dullness,Sensitive,Fair,19,Female,The Ordinary Vitamin C Suspension
Rosacea,Sensitive,Fair,47,Other,Cetaphil Redness Relief
Itchy Skin,Oily,Fair,36,Other,Eucerin Itch Relief Cream
Dark Circles,Oily,Medium,33,Other,Mamaearth Under Eye Cream
Inflammation,Normal,Dusky,40,Other,The Ordinary Niacinamide 10% + Zinc 1%
Dark Spots,Combination,Dark,48,Other,Minimalist Alpha Arbutin Serum
Redness,Oily,Fair,57,Other,Aveeno Ultra-Calming Foaming Cleanser
Tanning,Dry,Dark,44,Male,Lotus Herbals Safe Sun
Redness,Combination,Dark,41,Female,Aveeno Ultra-Calming Foaming Cleanser
Wrinkles,Combination,Dark,36,Other,Olay Regenerist Retinol 24
Whiteheads,Combination,Medium,59,Female,Paula's Choice BHA Exfoliant
Oily Skin,Oily,Fair,21,Female,La Roche-Posay Effaclar Gel
Wrinkles,Combination,Medium,51,Male,Olay Regenerist Retinol 24
Inflammation,Normal,Olive,37,Other,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Sensitive,Dusky,58,Female,Olay Regenerist Retinol 24
Dryness,Combination,Olive,35,Female,CeraVe Moisturizing Cream
Wrinkles,Normal,Olive,29,Male,Olay Regenerist Retinol 24
Sagging,Dry,Fair,38,Other,Pond’s Age Miracle Firming Serum
Pores,Oily,Dusky,52,Male,Innisfree Super Volcanic Clay Mask
Redness,Normal,Olive,55,Other,Aveeno Ultra-Calming Foaming Cleanser
Tanning,Oily,Olive,58,Other,Lotus Herbals Safe Sun
Whiteheads,Oily,Medium,33,Other,Paula's Choice BHA Exfoliant
Dullness,Combination,Dusky,16,Male,The Ordinary Vitamin C Suspension
Dark Circles,Normal,Dark,20,Male,Mamaearth Under Eye Cream
Acne,Oily,Olive,29,Female,Neutrogena Oil-Free Acne Wash
Redness,Sensitive,Dusky,26,Female,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Combination,Olive,54,Male,The Ordinary Vitamin C Suspension
Dryness,Dry,Medium,55,Male,CeraVe Moisturizing Cream
Oily Skin,Combination,Dark,58,Female,La Roche-Posay Effaclar Gel
Sagging,Normal,Dark,42,Female,Pond’s Age Miracle Firming Serum
Sunburn,Normal,Fair,38,Female,Aloe Vera Gel
Wrinkles,Combination,Olive,47,Other,Olay Regenerist Retinol 24
Dullness,Oily,Medium,41,Other,The Ordinary Vitamin C Suspension
Dryness,Oily,Medium,35,Male,CeraVe Moisturizing Cream
Dark Circles,Combination,Dusky,36,Male,Mamaearth Under Eye Cream
Acne,Sensitive,Dark,27,Male,Neutrogena Oil-Free Acne Wash
Rosacea,Normal,Medium,48,Other,Cetaphil Redness Relief
Pores,Oily,Dark,18,Female,Innisfree Super Volcanic Clay Mask
Acne,Sensitive,Fair,36,Other,Neutrogena Oil-Free Acne Wash
Redness,Normal,Dark,56,Female,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Oily,Dark,17,Female,The Ordinary Vitamin C Suspension
Pigmentation,Normal,Dark,60,Female,Murad Rapid Age Spot Correcting Serum
Oily Skin,Sensitive,Fair,31,Female,La Roche-Posay Effaclar Gel
Inflammation,Sensitive,Olive,21,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dullness,Combination,Medium,37,Male,The Ordinary Vitamin C Suspension
Oily Skin,Normal,Fair,49,Other,La Roche-Posay Effaclar Gel
Sunburn,Combination,Dusky,57,Male,Aloe Vera Gel
Blackheads,Oily,Medium,32,Male,The Body Shop Tea Tree Cleanser
Pigmentation,Normal,Medium,57,Male,Murad Rapid Age Spot Correcting Serum
Pigmentation,Sensitive,Dark,52,Other,Murad Rapid Age Spot Correcting Serum
Itchy Skin,Normal,Olive,36,Other,Eucerin Itch Relief Cream
Uneven Skin Tone,Dry,Dark,20,Female,L'Oreal Paris Glycolic Bright Serum
Itchy Skin,Combination,Dusky,53,Male,Eucerin Itch Relief Cream
Pores,Normal,Fair,35,Female,Innisfree Super Volcanic Clay Mask
Itchy Skin,Oily,Fair,39,Female,Eucerin Itch Relief Cream
Oily Skin,Oily,Olive,54,Other,La Roche-Posay Effaclar Gel
Rosacea,Sensitive,Olive,51,Other,Cetaphil Redness Relief
Dryness,Sensitive,Olive,57,Male,CeraVe Moisturizing Cream
Uneven Skin Tone,Normal,Dark,48,Male,L'Oreal Paris Glycolic Bright Serum
Dryness,Sensitive,Fair,37,Other,CeraVe Moisturizing Cream
Oily Skin,Normal,Medium,18,Male,La Roche-Posay Effaclar Gel
Itchy Skin,Sensitive,Olive,49,Other,Eucerin Itch Relief Cream
Pigmentation,Combination,Dusky,34,Female,Murad Rapid Age Spot Correcting Serum
Redness,Combination,Olive,19,Other,Aveeno Ultra-Calming Foaming Cleanser
Uneven Skin Tone,Oily,Dusky,22,Other,L'Oreal Paris Glycolic Bright Serum
Rosacea,Combination,Dusky,58,Other,Cetaphil Redness Relief
Dark Circles,Combination,Fair,53,Other,Mamaearth Under Eye Cream
Dark Circles,Combination,Dusky,57,Other,Mamaearth Under Eye Cream
Rosacea,Dry,Olive,21,Female,Cetaphil Redness Relief
Tanning,Sensitive,Dusky,24,Other,Lotus Herbals Safe Sun
Dark Spots,Oily,Dark,48,Female,Minimalist Alpha Arbutin Serum
Acne,Combination,Dusky,27,Male,Neutrogena Oil-Free Acne Wash
Uneven Skin Tone,Sensitive,Medium,30,Male,L'Oreal Paris Glycolic Bright Serum
Dark Circles,Oily,Dusky,22,Other,Mamaearth Under Eye Cream
Tanning,Normal,Fair,58,Female,Lotus Herbals Safe Sun
Eczema,Dry,Olive,40,Male,CeraVe Eczema Relief Creamy Oil
Pigmentation,Dry,Olive,26,Other,Murad Rapid Age Spot Correcting Serum
Itchy Skin,Oily,Dark,39,Other,Eucerin Itch Relief Cream
Blackheads,Sensitive,Olive,34,Other,The Body Shop Tea Tree Cleanser
Itchy Skin,Dry,Olive,31,Female,Eucerin Itch Relief Cream
Sagging,Dry,Dusky,59,Other,Pond’s Age Miracle Firming Serum
Itchy Skin,Sensitive,Dusky,40,Other,Eucerin Itch Relief Cream
Dark Spots,Sensitive,Medium,28,Other,Minimalist Alpha Arbutin Serum
Dark Circles,Combination,Fair,57,Female,Mamaearth Under Eye Cream
Pores,Normal,Fair,49,Male,Innisfree Super Volcanic Clay Mask
Dullness,Oily,Medium,33,Female,The Ordinary Vitamin C Suspension
Dark Spots,Dry,Dark,21,Male,Minimalist Alpha Arbutin Serum
Itchy Skin,Combination,Fair,42,Male,Eucerin Itch Relief Cream
Rosacea,Normal,Dusky,31,Female,Cetaphil Redness Relief
Oily Skin,Combination,Medium,17,Female,La Roche-Posay Effaclar Gel
Wrinkles,Combination,Medium,24,Male,Olay Regenerist Retinol 24
Dullness,Sensitive,Medium,46,Female,The Ordinary Vitamin C Suspension
Eczema,Oily,Fair,17,Female,CeraVe Eczema Relief Creamy Oil
Sunburn,Dry,Olive,54,Other,Aloe Vera Gel
Redness,Oily,Dusky,31,Female,Aveeno Ultra-Calming Foaming Cleanser
Wrinkles,Oily,Medium,42,Other,Olay Regenerist Retinol 24
Eczema,Sensitive,Fair,23,Female,CeraVe Eczema Relief Creamy Oil
Eczema,Normal,Fair,56,Other,CeraVe Eczema Relief Creamy Oil
