Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Dark Spots,nonveg,Yogurt,Mayonnaise
Sunburn,nonveg,Bone Broth,Fried Egg
Sagging,nonveg,Turkey,Sausages
Sunburn,veg,Spinach,Pickles
Pores,vegen,Hummus,Fried Tofu
Dryness,veg,Carrot,Pickles
Uneven Skin Tone,veg,Tomato,Carbonated Drinks
Sunburn,vegen,Tofu,Agave Syrup
Pigmentation,combination,Baked Fish with Veggies,Ice Cream
Oily Skin,vegen,Coconut Water,White Sugar
Dryness,veg,Spinach,Carbonated Drinks
Pigmentation,vegen,Kale,Fried Tofu
Sunburn,vegen,Soy Milk,Overprocessed Vegan Snacks
Rosacea,veg,Almonds,Butter
Itchy Skin,combination,Avocado Toast with Egg,Fried Chicken
Sagging,nonveg,Tuna,Bacon
Sunburn,veg,Turmeric Milk,Deep-Fried Snacks
Dryness,combination,Egg Salad,Pizza
Inflammation,vegen,Coconut Water,Vegan Mayo
Pigmentation,veg,Sweet Potato,Refined Sugar
Pigmentation,veg,Turmeric Milk,Refined Sugar
Blackheads,vegen,Chia Seeds,Mock Meats
Blackheads,veg,Turmeric Milk,Refined Sugar
Redness,combination,Fruit Yogurt,Ice Cream
Uneven Skin Tone,nonveg,Yogurt,Sausages
Dark Circles,combination,Baked Fish with Veggies,Chips
Oily Skin,veg,Cucumber,Processed Juice
Inflammation,veg,Spinach,Deep-Fried Snacks
Sunburn,combination,Fish Curry with Rice,Chips
Oily Skin,nonveg,Oysters,Bacon
Pigmentation,vegen,Coconut Water,Packaged Vegan Chips
Eczema,veg,Sweet Potato,Butter
Wrinkles,nonveg,Yogurt,Fried Fish
Wrinkles,nonveg,Yogurt,Bacon
Eczema,nonveg,Oysters,Mutton Curry
Whiteheads,vegen,Lentils,Refined Oil
Oily Skin,vegen,Lentils,Refined Oil
Acne,combination,Fish Curry with Rice,Instant Noodles
Pigmentation,vegen,Coconut Water,Agave Syrup
Tanning,veg,Spinach,Refined Sugar
Dark Circles,veg,Pumpkin Seeds,Processed Juice
Tanning,nonveg,Liver,Spicy Chicken
Dryness,combination,Mixed Nuts,Pizza
Pores,nonveg,Tuna,Fried Fish
Pores,vegen,Zucchini,Overprocessed Vegan Snacks
Blackheads,nonveg,Eggs,Sausages
Acne,nonveg,Oysters,Sausages
Blackheads,combination,Fish Curry with Rice,Burger
Rosacea,veg,Cucumber,Carbonated Drinks
Sunburn,vegen,Quinoa,Packaged Vegan Chips
Blackheads,nonveg,Salmon,Mutton Curry
Rosacea,combination,Fruit Yogurt,Burger
Whiteheads,combination,Greek Yogurt with Berries,Excess Cheese
Tanning,combination,Egg Salad,Burger
Whiteheads,nonveg,Bone Broth,Bacon
Dryness,veg,Turmeric Milk,Pickles
Pores,combination,Avocado Toast with Egg,Cream Biscuits
Dark Spots,veg,Almonds,Processed Juice
Sunburn,combination,Egg Salad,Excess Cheese
Acne,nonveg,Oysters,Sausages
Oily Skin,combination,Tofu Stir Fry,Chips
Wrinkles,combination,Greek Yogurt with Berries,Instant Noodles
Redness,combination,Avocado Toast with Egg,Instant Noodles
Tanning,nonveg,Tuna,Sausages
Rosacea,nonveg,Bone Broth,Fried Egg
Dullness,vegen,Coconut Water,Refined Oil
Dullness,combination,Vegetable Soup,Excess Cheese
Inflammation,combination,Baked Fish with Veggies,Butter Paneer
Itchy Skin,nonveg,Prawns,Mayonnaise
Pigmentation,veg,Broccoli,Deep-Fried Snacks
Eczema,combination,Chicken with Broccoli,Ice Cream
Dullness,nonveg,Tuna,Spicy Chicken
Acne,veg,Tomato,Creamy Curries
Eczema,veg,Cucumber,Pickles
Inflammation,nonveg,Liver,Mayonnaise
Rosacea,nonveg,Eggs,Red Meat
Wrinkles,vegen,Oats,Overprocessed Vegan Snacks
Dark Spots,vegen,Soy Milk,Vegan Mayo
Blackheads,veg,Cucumber,White Bread
Itchy Skin,combination,Baked Fish with Veggies,Cream Biscuits
Dark Spots,vegen,Coconut Water,Fried Tofu
Pigmentation,vegen,Kale,Packaged Vegan Chips
Blackheads,combination,Greek Yogurt with Berries,Butter Paneer
Blackheads,combination,Baked Fish with Veggies,Burger
Dullness,nonveg,Yogurt,Processed Meat
Uneven Skin Tone,veg,Beetroot,White Bread
Blackheads,vegen,Tofu,Excess Soy
Oily Skin,vegen,Hummus,Coconut Cream
Tanning,vegen,Hummus,Refined Oil
Sunburn,vegen,Hummus,Mock Meats
Acne,vegen,Kale,Refined Oil
Pores,combination,Avocado Toast with Egg,Excess Cheese
Tanning,nonveg,Turkey,Mutton Curry
Whiteheads,vegen,Kale,Refined Oil
Rosacea,combination,Avocado Toast with Egg,Sugary Drinks
Itchy Skin,nonveg,Bone Broth,Butter Chicken
Acne,vegen,Zucchini,Mock Meats
Acne,veg,Almonds,White Bread
Itchy Skin,nonveg,Salmon,Bacon
Rosacea,combination,Vegetable Soup,Butter Paneer
Uneven Skin Tone,combination,Avocado Toast with Egg,Instant Noodles
Redness,combination,Chicken with Broccoli,Butter Paneer
Acne,veg,Pumpkin Seeds,Carbonated Drinks
Oily Skin,veg,Carrot,Carbonated Drinks
Sunburn,veg,Turmeric Milk,White Bread
Blackheads,nonveg,Turkey,Fried Fish
Inflammation,nonveg,Turkey,Bacon
Pores,nonveg,Bone Broth,Fried Egg
Wrinkles,nonveg,Yogurt,Fried Fish
Inflammation,veg,Broccoli,Processed Juice
Rosacea,vegen,Oats,White Sugar
Inflammation,nonveg,Chicken Breast,Bacon
Eczema,veg,Turmeric Milk,Fried Potato
Pores,vegen,Quinoa,White Sugar
Dark Spots,combination,Egg Salad,Excess Cheese
Sagging,veg,Almonds,Cheese
Itchy Skin,nonveg,Liver,Spicy Chicken
Dark Spots,combination,Tofu Stir Fry,Fried Chicken
Sagging,vegen,Hummus,Mock Meats
Whiteheads,combination,Vegetable Soup,Burger
Whiteheads,vegen,Oats,Fried Tofu
Inflammation,vegen,Quinoa,Refined Oil
Sagging,combination,Fish Curry with Rice,Butter Paneer
Sunburn,combination,Fruit Yogurt,Chips
Whiteheads,combination,Greek Yogurt with Berries,Pizza
Dark Spots,nonveg,Chicken Breast,Mutton Curry
Redness,vegen,Coconut Water,Excess Soy
Sagging,vegen,Kale,Refined Oil
Oily Skin,combination,Vegetable Soup,Excess Cheese
Blackheads,combination,Tofu Stir Fry,Chips
Sagging,combination,Avocado Toast with Egg,Fried Chicken
Uneven Skin Tone,combination,Baked Fish with Veggies,Instant Noodles
Dullness,combination,Vegetable Soup,Burger
Sunburn,combination,Chicken with Broccoli,Fried Chicken
Pigmentation,nonveg,Tuna,Mayonnaise
Whiteheads,combination,Chicken with Broccoli,Ice Cream
Dullness,nonveg,Oysters,Spicy Chicken
Dullness,veg,Sweet Potato,White Bread
Whiteheads,veg,Carrot,Deep-Fried Snacks
Dullness,nonveg,Turkey,Fried Fish
Acne,combination,Baked Fish with Veggies,Butter Paneer
Itchy Skin,combination,Fish Curry with Rice,Pizza
Whiteheads,vegen,Chia Seeds,White Sugar
Rosacea,vegen,Chia Seeds,Mock Meats
Dryness,nonveg,Eggs,Fried Egg
Dullness,veg,Tomato,Refined Sugar
Tanning,vegen,Zucchini,Mock Meats
Eczema,nonveg,Prawns,Sausages
Itchy Skin,vegen,Lentils,Mock Meats
Redness,combination,Tofu Stir Fry,Cream Biscuits
Dryness,veg,Tomato,Carbonated Drinks
Whiteheads,veg,Beetroot,Carbonated Drinks
Pigmentation,veg,Beetroot,Fried Potato
Redness,vegen,Zucchini,Fried Tofu
Dullness,veg,Tomato,Butter
Dullness,vegen,Chia Seeds,Excess Soy
Whiteheads,nonveg,Liver,Fried Fish
Tanning,nonveg,Eggs,Bacon
Dark Circles,veg,Carrot,White Bread
Dullness,combination,Baked Fish with Veggies,Burger
Itchy Skin,combination,Avocado Toast with Egg,Instant Noodles
Dark Spots,vegen,Kale,White Sugar
Eczema,veg,Almonds,Cheese
Eczema,combination,Egg Salad,Burger
Blackheads,veg,Broccoli,Processed Juice
Dryness,nonveg,Turkey,Butter Chicken
Itchy Skin,combination,Fish Curry with Rice,Cream Biscuits
Redness,vegen,Chia Seeds,Fried Tofu
Pores,vegen,Quinoa,Coconut Cream
Wrinkles,nonveg,Oysters,Sausages
Sagging,combination,Avocado Toast with Egg,Fried Chicken
Dryness,vegen,Chia Seeds,Coconut Cream
Whiteheads,combination,Chicken with Broccoli,Excess Cheese
Dark Spots,veg,Sweet Potato,Creamy Curries
Redness,veg,Tomato,Deep-Fried Snacks
Pores,vegen,Kale,Refined Oil
Sunburn,combination,Greek Yogurt with Berries,Sugary Drinks
Dullness,vegen,Kale,White Sugar
Acne,nonveg,Eggs,Bacon
Tanning,veg,Sweet Potato,Pickles
Oily Skin,nonveg,Chicken Breast,Mayonnaise
Wrinkles,nonveg,Turkey,Bacon
Dark Spots,combination,Avocado Toast with Egg,Butter Paneer
Sagging,nonveg,Turkey,Butter Chicken
Dark Circles,vegen,Oats,Mock Meats
Dark Spots,nonveg,Chicken Breast,Bacon
Redness,combination,Greek Yogurt with Berries,Instant Noodles
Acne,combination,Fruit Yogurt,Cream Biscuits
Inflammation,vegen,Tofu,Fried Tofu
Tanning,vegen,Quinoa,Coconut Cream
Tanning,vegen,Kale,Coconut Cream
Sunburn,nonveg,Bone Broth,Sausages
Blackheads,vegen,Soy Milk,Coconut Cream
Sagging,vegen,Hummus,Overprocessed Vegan Snacks
Sagging,veg,Beetroot,Deep-Fried Snacks
Inflammation,combination,Chicken with Broccoli,Butter Paneer
Wrinkles,vegen,Soy Milk,Overprocessed Vegan Snacks
Redness,nonveg,Chicken Breast,Mayonnaise
Whiteheads,combination,Tofu Stir Fry,Excess Cheese
Oily Skin,combination,Greek Yogurt with Berries,Excess Cheese
Uneven Skin Tone,vegen,Coconut Water,Refined Oil
Eczema,veg,Tomato,Butter
Blackheads,veg,Almonds,Refined Sugar
Wrinkles,vegen,Tofu,Packaged Vegan Chips
Acne,veg,Pumpkin Seeds,Fried Potato
Dullness,combination,Mixed Nuts,Excess Cheese
Dark Circles,nonveg,Prawns,Sausages
Inflammation,nonveg,Eggs,Spicy Chicken
Oily Skin,vegen,Zucchini,Excess Soy
Sagging,nonveg,Tuna,Mayonnaise
Whiteheads,vegen,Lentils,Refined Oil
Itchy Skin,combination,Greek Yogurt with Berries,Sugary Drinks
Oily Skin,vegen,Quinoa,Mock Meats
Dullness,vegen,Lentils,Fried Tofu
Dullness,nonveg,Liver,Mayonnaise
Wrinkles,nonveg,Liver,Fried Egg
Pores,combination,Fruit Yogurt,Pizza
Rosacea,combination,Egg Salad,Cream Biscuits
Dryness,vegen,Lentils,Excess Soy
Eczema,combination,Vegetable Soup,Ice Cream
Eczema,combination,Fish Curry with Rice,Burger
Dryness,combination,Baked Fish with Veggies,Pizza
Inflammation,combination,Fish Curry with Rice,Burger
Dullness,combination,Avocado Toast with Egg,Sugary Drinks
Sunburn,nonveg,Prawns,Processed Meat
Dark Spots,combination,Fish Curry with Rice,Instant Noodles
Sagging,combination,Mixed Nuts,Burger
Itchy Skin,veg,Beetroot,Carbonated Drinks
Rosacea,combination,Chicken with Broccoli,Excess Cheese
Acne,combination,Greek Yogurt with Berries,Burger
Itchy Skin,combination,Fruit Yogurt,Cream Biscuits
Rosacea,combination,Chicken with Broccoli,Ice Cream
Sagging,veg,Turmeric Milk,Deep-Fried Snacks
Uneven Skin Tone,nonveg,Chicken Breast,Mayonnaise
Dullness,vegen,Chia Seeds,Overprocessed Vegan Snacks
Dryness,veg,Broccoli,Creamy Curries
Wrinkles,veg,Tomato,Deep-Fried Snacks
Dark Circles,vegen,Kale,Coconut Cream
Tanning,vegen,Zucchini,Overprocessed Vegan Snacks
Redness,veg,Cucumber,Processed Juice
Redness,combination,Egg Salad,Chips
Sunburn,vegen,Kale,Excess Soy
Pores,veg,Pumpkin Seeds,Deep-Fried Snacks
Pores,veg,Almonds,Butter
Sunburn,veg,Cucumber,Refined Sugar
Sunburn,veg,Carrot,Cheese
Blackheads,nonveg,Bone Broth,Mutton Curry
Oily Skin,nonveg,Bone Broth,Mutton Curry
Blackheads,combination,Fish Curry with Rice,Cream Biscuits
Acne,combination,Fish Curry with Rice,Sugary Drinks
Tanning,combination,Fish Curry with Rice,Burger
Acne,nonveg,Salmon,Processed Meat
Blackheads,combination,Egg Salad,Sugary Drinks
Whiteheads,veg,Beetroot,Pickles
Dark Spots,veg,Spinach,Creamy Curries
Itchy Skin,combination,Greek Yogurt with Berries,Cream Biscuits
Wrinkles,vegen,Coconut Water,Excess Soy
Eczema,veg,Sweet Potato,Butter
Itchy Skin,veg,Carrot,Creamy Curries
Rosacea,vegen,Chia Seeds,Fried Tofu
Itchy Skin,veg,Spinach,Cheese
Eczema,nonveg,Chicken Breast,Spicy Chicken
Whiteheads,combination,Avocado Toast with Egg,Cream Biscuits
Dark Spots,combination,Baked Fish with Veggies,Fried Chicken
Eczema,vegen,Chia Seeds,White Sugar
Tanning,nonveg,Liver,Mayonnaise
Blackheads,vegen,Quinoa,Fried Tofu
Rosacea,vegen,Chia Seeds,Coconut Cream
Redness,combination,Fruit Yogurt,Chips
Dark Circles,vegen,Chia Seeds,White Sugar
Oily Skin,veg,Almonds,Refined Sugar
Pores,nonveg,Prawns,Red Meat
Inflammation,combination,Chicken with Broccoli,Excess Cheese
Pores,vegen,Soy Milk,Packaged Vegan Chips
Eczema,combination,Mixed Nuts,Burger
Inflammation,nonveg,Eggs,Mayonnaise
Blackheads,veg,Pumpkin Seeds,Deep-Fried Snacks
Pores,veg,Broccoli,Processed Juice
Blackheads,vegen,Coconut Water,Mock Meats
Eczema,veg,Turmeric Milk,Butter
Acne,nonveg,Yogurt,Bacon
Uneven Skin Tone,combination,Egg Salad,Sugary Drinks
Dark Circles,vegen,Chia Seeds,Overprocessed Vegan Snacks
Acne,veg,Sweet Potato,Carbonated Drinks
Rosacea,vegen,Kale,Coconut Cream
Pigmentation,combination,Fruit Yogurt,Chips
Inflammation,veg,Carrot,White Bread
Pigmentation,veg,Spinach,Butter
Itchy Skin,vegen,Kale,Mock Meats
Itchy Skin,vegen,Lentils,Excess Soy
Dark Spots,veg,Pumpkin Seeds,Pickles
Wrinkles,combination,Tofu Stir Fry,Butter Paneer
Dark Spots,combination,Egg Salad,Ice Cream
Rosacea,veg,Carrot,Carbonated Drinks
Dullness,nonveg,Eggs,Bacon
Dullness,combination,Chicken with Broccoli,Pizza
Sagging,vegen,Tofu,Overprocessed Vegan Snacks
Rosacea,nonveg,Prawns,Butter Chicken
Pores,veg,Almonds,Fried Potato
Redness,veg,Cucumber,Refined Sugar
Uneven Skin Tone,vegen,Zucchini,Agave Syrup
Redness,combination,Chicken with Broccoli,Excess Cheese
Acne,combination,Fish Curry with Rice,Cream Biscuits
Itchy Skin,combination,Chicken with Broccoli,Excess Cheese
Wrinkles,nonveg,Liver,Fried Egg
Rosacea,veg,Almonds,Butter
Uneven Skin Tone,nonveg,Oysters,Spicy Chicken
Oily Skin,veg,Sweet Potato,Deep-Fried Snacks
Sunburn,combination,Mixed Nuts,Sugary Drinks
Blackheads,veg,Beetroot,Butter
Sunburn,nonveg,Bone Broth,Spicy Chicken
Oily Skin,nonveg,Turkey,Mayonnaise
Inflammation,vegen,Zucchini,Mock Meats
Uneven Skin Tone,combination,Fish Curry with Rice,Butter Paneer
Oily Skin,vegen,Kale,Packaged Vegan Chips
Whiteheads,veg,Pumpkin Seeds,Deep-Fried Snacks
Oily Skin,combination,Baked Fish with Veggies,Butter Paneer
Dryness,veg,Pumpkin Seeds,Butter
Oily Skin,veg,Turmeric Milk,Processed Juice
Dark Spots,vegen,Kale,Mock Meats
Tanning,veg,Cucumber,Processed Juice
Sunburn,combination,Tofu Stir Fry,Butter Paneer
Dark Spots,nonveg,Salmon,Mayonnaise
Wrinkles,combination,Chicken with Broccoli,Fried Chicken
Pigmentation,veg,Tomato,Creamy Curries
Itchy Skin,nonveg,Oysters,Processed Meat
Dullness,vegen,Hummus,Coconut Cream
Eczema,veg,Pumpkin Seeds,Refined Sugar
Uneven Skin Tone,veg,Sweet Potato,Pickles
Dullness,combination,Tofu Stir Fry,Sugary Drinks
Uneven Skin Tone,veg,Turmeric Milk,White Bread
Pores,combination,Avocado Toast with Egg,Sugary Drinks
Eczema,veg,Broccoli,Deep-Fried Snacks
Rosacea,combination,Fish Curry with Rice,Fried Chicken
Oily Skin,vegen,Coconut Water,Coconut Cream
Acne,combination,Fruit Yogurt,Sugary Drinks
Sunburn,combination,Baked Fish with Veggies,Ice Cream
Blackheads,nonveg,Eggs,Fried Fish
Dullness,veg,Sweet Potato,Deep-Fried Snacks
Dark Spots,veg,Pumpkin Seeds,Processed Juice
Dark Circles,vegen,Tofu,Overprocessed Vegan Snacks
Pigmentation,nonveg,Turkey,Red Meat
Redness,combination,Vegetable Soup,Butter Paneer
Eczema,combination,Baked Fish with Veggies,Ice Cream
Tanning,nonveg,Yogurt,Mayonnaise
Sunburn,combination,Tofu Stir Fry,Butter Paneer
Itchy Skin,combination,Avocado Toast with Egg,Fried Chicken
Dark Spots,vegen,Tofu,Excess Soy
Eczema,nonveg,Yogurt,Red Meat
Sagging,combination,Greek Yogurt with Berries,Burger
Dark Spots,veg,Broccoli,Refined Sugar
Pigmentation,combination,Baked Fish with Veggies,Fried Chicken
Dark Circles,vegen,Chia Seeds,Excess Soy
Itchy Skin,combination,Egg Salad,Excess Cheese
Dryness,vegen,Coconut Water,Coconut Cream
Blackheads,vegen,Chia Seeds,Coconut Cream
Blackheads,veg,Pumpkin Seeds,Refined Sugar
Uneven Skin Tone,nonveg,Eggs,Red Meat
Dullness,vegen,Tofu,Fried Tofu
Itchy Skin,veg,Spinach,Fried Potato
Whiteheads,nonveg,Eggs,Butter Chicken
Eczema,vegen,Chia Seeds,Packaged Vegan Chips
Blackheads,combination,Chicken with Broccoli,Pizza
Blackheads,vegen,Zucchini,Fried Tofu
Oily Skin,veg,Cucumber,Processed Juice
Tanning,veg,Sweet Potato,Processed Juice
Blackheads,nonveg,Yogurt,Sausages
Acne,combination,Vegetable Soup,Cream Biscuits
Redness,nonveg,Chicken Breast,Butter Chicken
Pores,veg,Sweet Potato,Deep-Fried Snacks
Dark Spots,veg,Almonds,Creamy Curries
Dryness,vegen,Quinoa,Packaged Vegan Chips
Acne,combination,Chicken with Broccoli,Chips
Blackheads,veg,Turmeric Milk,Cheese
Dark Circles,veg,Pumpkin Seeds,Deep-Fried Snacks
Uneven Skin Tone,nonveg,Turkey,Mayonnaise
Pigmentation,nonveg,Chicken Breast,Mayonnaise
Dryness,combination,Vegetable Soup,Pizza
Sunburn,veg,Pumpkin Seeds,Butter
Dark Spots,vegen,Coconut Water,Fried Tofu
Whiteheads,veg,Tomato,Butter
Pores,veg,Pumpkin Seeds,Butter
Wrinkles,combination,Avocado Toast with Egg,Excess Cheese
Itchy Skin,vegen,Quinoa,Overprocessed Vegan Snacks
Sagging,vegen,Quinoa,Vegan Mayo
Whiteheads,veg,Almonds,Refined Sugar
Redness,nonveg,Prawns,Bacon
Uneven Skin Tone,veg,Spinach,Cheese
Dullness,combination,Baked Fish with Veggies,Cream Biscuits
Redness,nonveg,Turkey,Processed Meat
Itchy Skin,veg,Pumpkin Seeds,Processed Juice
Redness,combination,Egg Salad,Burger
Rosacea,combination,Greek Yogurt with Berries,Sugary Drinks
Acne,nonveg,Bone Broth,Mayonnaise
Dryness,nonveg,Chicken Breast,Mutton Curry
Pores,combination,Avocado Toast with Egg,Cream Biscuits
Dryness,nonveg,Turkey,Processed Meat
Pores,vegen,Chia Seeds,Mock Meats
Dark Circles,combination,Avocado Toast with Egg,Chips
Whiteheads,nonveg,Chicken Breast,Red Meat
Pigmentation,vegen,Coconut Water,Agave Syrup
Tanning,veg,Broccoli,Butter
Itchy Skin,nonveg,Bone Broth,Bacon
Sagging,nonveg,Chicken Breast,Spicy Chicken
Oily Skin,vegen,Tofu,Fried Tofu
Oily Skin,combination,Mixed Nuts,Burger
Tanning,combination,Fruit Yogurt,Sugary Drinks
Pigmentation,combination,Greek Yogurt with Berries,Ice Cream
Wrinkles,nonveg,Eggs,Mutton Curry
Sagging,veg,Pumpkin Seeds,Deep-Fried Snacks
Inflammation,combination,Baked Fish with Veggies,Fried Chicken
Dark Circles,veg,Spinach,Butter
Rosacea,vegen,Coconut Water,Agave Syrup
Redness,veg,Beetroot,Cheese
Oily Skin,vegen,Kale,Vegan Mayo
Pores,nonveg,Prawns,Fried Egg
Pigmentation,nonveg,Liver,Butter Chicken
Dryness,veg,Sweet Potato,White Bread
Dullness,nonveg,Eggs,Processed Meat
Blackheads,combination,Greek Yogurt with Berries,Instant Noodles
Oily Skin,combination,Vegetable Soup,Fried Chicken
Whiteheads,nonveg,Yogurt,Fried Egg
Tanning,veg,Sweet Potato,White Bread
Inflammation,nonveg,Eggs,Fried Egg
Eczema,combination,Tofu Stir Fry,Pizza
Acne,veg,Carrot,Processed Juice
Whiteheads,nonveg,Bone Broth,Sausages
Eczema,veg,Cucumber,Deep-Fried Snacks
Dullness,combination,Baked Fish with Veggies,Ice Cream
Rosacea,combination,Baked Fish with Veggies,Burger
Dryness,nonveg,Turkey,Sausages
Sagging,vegen,Oats,Coconut Cream
Eczema,nonveg,Oysters,Processed Meat
Pores,vegen,Tofu,Coconut Cream
Dark Spots,veg,Pumpkin Seeds,Carbonated Drinks
Itchy Skin,veg,Broccoli,Creamy Curries
Blackheads,nonveg,Chicken Breast,Red Meat
Dullness,vegen,Zucchini,Agave Syrup
Blackheads,nonveg,Oysters,Fried Egg
Uneven Skin Tone,nonveg,Eggs,Mayonnaise
Dark Spots,vegen,Kale,Packaged Vegan Chips
Sagging,veg,Spinach,Pickles
Dark Spots,vegen,Oats,Excess Soy
Inflammation,combination,Egg Salad,Pizza
Dullness,vegen,Zucchini,Fried Tofu
Dullness,veg,Spinach,Pickles
Dark Circles,combination,Mixed Nuts,Excess Cheese
Pores,veg,Almonds,Fried Potato
Inflammation,nonveg,Oysters,Butter Chicken
Dullness,veg,Almonds,Deep-Fried Snacks
Itchy Skin,combination,Tofu Stir Fry,Cream Biscuits
Wrinkles,nonveg,Chicken Breast,Sausages
Pores,combination,Greek Yogurt with Berries,Chips
Dark Circles,nonveg,Bone Broth,Butter Chicken
Rosacea,veg,Carrot,Fried Potato
Dark Circles,combination,Baked Fish with Veggies,Fried Chicken
Itchy Skin,nonveg,Bone Broth,Butter Chicken
Dark Circles,combination,Tofu Stir Fry,Chips
Pigmentation,vegen,Zucchini,Packaged Vegan Chips
Inflammation,combination,Greek Yogurt with Berries,Fried Chicken
Tanning,vegen,Zucchini,Packaged Vegan Chips
Sagging,veg,Pumpkin Seeds,Cheese
Wrinkles,vegen,Zucchini,Packaged Vegan Chips
Acne,vegen,Lentils,Mock Meats
Inflammation,nonveg,Salmon,Fried Egg
Sagging,nonveg,Prawns,Fried Egg
Rosacea,nonveg,Tuna,Red Meat
Inflammation,veg,Tomato,Fried Potato
Itchy Skin,combination,Avocado Toast with Egg,Sugary Drinks
Redness,nonveg,Liver,Butter Chicken
Eczema,vegen,Soy Milk,Overprocessed Vegan Snacks
Dark Spots,nonveg,Prawns,Processed Meat
Sagging,vegen,Quinoa,Overprocessed Vegan Snacks
Itchy Skin,combination,Greek Yogurt with Berries,Chips
Whiteheads,vegen,Oats,Excess Soy
Whiteheads,combination,Vegetable Soup,Instant Noodles
Dullness,nonveg,Turkey,Processed Meat
Sagging,combination,Greek Yogurt with Berries,Instant Noodles
Dullness,veg,Turmeric Milk,Deep-Fried Snacks
Rosacea,vegen,Quinoa,Overprocessed Vegan Snacks
Dullness,veg,Broccoli,Refined Sugar
Pores,vegen,Lentils,Fried Tofu
Sunburn,nonveg,Prawns,Bacon
Tanning,combination,Fish Curry with Rice,Burger
Eczema,nonveg,Tuna,Red Meat
Dark Spots,nonveg,Tuna,Red Meat
Wrinkles,vegen,Quinoa,Fried Tofu
Wrinkles,nonveg,Salmon,Butter Chicken
Pigmentation,vegen,Kale,Fried Tofu
Sunburn,combination,Mixed Nuts,Instant Noodles
Dryness,veg,Turmeric Milk,Carbonated Drinks
Tanning,veg,Beetroot,Pickles
Pigmentation,veg,Almonds,Creamy Curries
Pigmentation,combination,Egg Salad,Pizza
Dullness,veg,Pumpkin Seeds,Butter
Itchy Skin,vegen,Tofu,Vegan Mayo
Itchy Skin,combination,Vegetable Soup,Burger
Uneven Skin Tone,nonveg,Turkey,Bacon
Pigmentation,veg,Pumpkin Seeds,Butter
Inflammation,nonveg,Eggs,Fried Egg
Rosacea,vegen,Coconut Water,Coconut Cream
Oily Skin,vegen,Chia Seeds,Overprocessed Vegan Snacks
Dark Circles,vegen,Quinoa,Excess Soy
Acne,combination,Avocado Toast with Egg,Ice Cream
Itchy Skin,combination,Mixed Nuts,Instant Noodles
Inflammation,veg,Broccoli,Cheese
Blackheads,veg,Spinach,Creamy Curries
Dullness,nonveg,Liver,Butter Chicken
Dullness,veg,Broccoli,Cheese
Eczema,nonveg,Tuna,Spicy Chicken
Sagging,nonveg,Turkey,Fried Egg
Pores,vegen,Coconut Water,Fried Tofu
Tanning,nonveg,Tuna,Fried Egg
Oily Skin,vegen,Coconut Water,Coconut Cream
Oily Skin,veg,Carrot,Deep-Fried Snacks
